Charge/Discharge [mAh],OCV [V]   ,OCV Predicted [V],Bestfit Entropy [J mol-1 K-1],Bestfit Entropy_Upper [J mol-1 K-1],Bestfit Entropy_Lower [J mol-1 K-1],Bestfit Method,Bestfit Enthalpy [J mol-1],Raw Entropy [J mol-1 K-1],Raw Entropy Error [J mol-1 K-1],M1 Entropy [J mol-1 K-1],M1 Entropy_Upper [J mol-1 K-1],M1 Entropy_Lower [J mol-1 K-1],M2 Entropy [J mol-1 K-1],M2 Entropy_Upper [J mol-1 K-1],M2 Entropy_Lower [J mol-1 K-1],M3 Entropy [J mol-1 K-1],M3 Entropy_Upper [J mol-1 K-1],M3 Entropy_Lower [J mol-1 K-1],M4 Entropy [J mol-1 K-1],M4 Entropy_Upper [J mol-1 K-1],M4 Entropy_Lower [J mol-1 K-1]
5.5703,0.00013486,0.0010518,-0.0095928,0.005219,0.005219,3,-15.891,-0.067345,0.090679,0.014174,0.014543,0.014543,0.0014761,0.0099475,0.0099475,-0.0095928,0.005219,0.005219,-0.00027782,0.0050083,0.0050083
5.6219,0.00013436,0.0011744,-0.011428,0.0049291,0.0049291,3,-16.393,-0.072419,0.09824,0.010186,0.015421,0.015421,0.000521,0.010093,0.010093,-0.011428,0.0049291,0.0049291,-0.0024487,0.0052961,0.0052961
5.6734,0.00013389,0.0014636,-0.012323,0.0047571,0.0047571,3,-16.615,-0.075982,0.10651,0.0072374,0.015107,0.015107,0.00067099,0.01092,0.01092,-0.012323,0.0047571,0.0047571,-0.0032918,0.0047284,0.0047284
5.725,0.0001334,0.0019897,-0.012392,0.0045564,0.0045564,3,-16.589,-0.078664,0.11499,0.0053398,0.014193,0.014193,0.0021253,0.012189,0.012189,-0.012392,0.0045564,0.0045564,-0.002872,0.0035599,0.0035599
5.7766,0.00013288,0.0028515,-0.011372,0.0043894,0.0043894,3,-16.233,-0.078148,0.1232,0.0049384,0.012951,0.012951,0.0050402,0.013676,0.013676,-0.011372,0.0043894,0.0043894,-0.00097152,0.0020816,0.0020816
5.8282,0.00013228,0.00013812,0.0014719,0.00064939,0.00064939,4,-12.321,-0.078448,0.13094,0.0052155,0.011598,0.011598,0.0082946,0.014998,0.014998,-0.010258,0.0048675,0.0048675,0.0014719,0.00064939,0.00064939
5.8797,0.00013159,0.00013787,0.0045703,0.00065245,0.00065245,4,-11.324,-0.076166,0.13744,0.0064476,0.010295,0.010295,0.011986,0.016175,0.016175,-0.0086897,0.0057678,0.0057678,0.0045703,0.00065245,0.00065245
5.9313,0.00013078,0.00013745,0.0077419,0.0096201,0.0091297,4,-10.294,-0.074497,0.1427,0.0079871,0.0093749,0.0093749,0.015631,0.016814,0.016814,-0.0070068,0.0070328,0.0070328,0.0077419,0.0014976,0.0014976
5.9829,0.00012987,0.00013685,0.010505,0.0022249,0.0022249,4,-9.3754,-0.074864,0.14807,0.0093842,0.0086243,0.0086243,0.018903,0.0174,0.0174,-0.0057871,0.0082003,0.0082003,0.010505,0.0022249,0.0022249
6.0345,0.00012881,0.00013605,0.012829,0.0028575,0.0028575,4,-8.5757,-0.074274,0.15132,0.010844,0.0079282,0.0079282,0.021378,0.017955,0.017955,-0.0045443,0.0093217,0.0093217,0.012829,0.0028575,0.0028575
6.0861,0.00012769,0.00013511,0.014443,0.003043,0.003043,4,-7.9831,-0.073268,0.1536,0.011773,0.0076783,0.0076783,0.023225,0.018012,0.018012,-0.0037248,0.010093,0.010093,0.014443,0.003043,0.003043
6.1376,0.0001265,0.00013403,0.015656,0.0032719,0.0032719,4,-7.5039,-0.073211,0.15533,0.012708,0.0074638,0.0074638,0.024487,0.018273,0.018273,-0.0030187,0.010713,0.010713,0.015656,0.0032719,0.0032719
6.1892,0.00012525,0.00013287,0.016491,0.0035827,0.0035827,4,-7.1332,-0.073021,0.15723,0.013467,0.0072592,0.0072592,0.025416,0.018734,0.018734,-0.0026125,0.01094,0.01094,0.016491,0.0035827,0.0035827
6.2408,0.00012396,0.00013167,0.017665,0.003704,0.003704,4,-6.6569,-0.072238,0.16017,0.014683,0.0073948,0.0073948,0.026775,0.019217,0.019217,-0.0014564,0.010331,0.010331,0.017665,0.003704,0.003704
6.2924,0.00012259,0.0001306,0.019213,0.0033559,0.0033559,4,-6.0603,-0.074706,0.16304,0.015305,0.0077253,0.0077253,0.028512,0.018895,0.018895,0.0027997,0.0061499,0.0061499,0.019213,0.0033559,0.0033559
6.3439,0.00012116,0.013605,0.011121,0.0016733,0.0016733,3,-8.3515,-0.077004,0.16551,0.014135,0.0085746,0.0085746,0.031408,0.015868,0.015868,0.011121,0.0016733,0.0016733,0.021929,0.0015048,0.0015048
